Breed,brd,lat,
AMPNT,QH,Bilat,
Ampnt,QH,Bilat,
AMPNT,QH,Bilat,
AMPNT,QH,Bilat,
AMPNT,QH,Bilat,
AMPNT,QH,Bilat,
AMPNT,QH,Bilat,
AMPNT,QH,Bilat,
ANDALS,WB,Bilat,
AppL,QH,Bilat,
APPL,QH,Bilat,
APPL,QH,Bilat,
APPL,QH,Bilat,
APPL,QH,Bilat,
APPL,QH,Bilat,
APPL,QH,Bilat,
Arab,ARAB,Bilat,
Arab DK Brown,ARAB,Bilat,
Arab Grey,ARAB,Bilat,
FRESAN,WB,Bilat,
FRESAN,WB,Bilat,
Mixed,MX,Bilat,
Mixed,MX,Bilat,
Mixed,MX,Bilat,
MIXED,MX,Bilat,
Mixed,MX,Bilat,
MORG,SADDLE,Bilat,
MSFOXT,SADDLE,Bilat,
Perchr,DR,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR,QH,Bilat,
QTR ,QH,Bilat,
QTR - chestnut,QH,Bilat,
QTR - chestnut,QH,Bilat,
THB,TB,Bilat,
WRMBLD,WB,Bilat,
APPL,QH,Bilat,
PERCHR,DR,Bilat,
QTR,QH,Bilat,
AMPNT,QH,Bilat,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMSADL,SADDLE,Lt,
AMTROT,SADDLE,Lt,
APPL,QH,Lt,
Arab,ARAB,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMSADL,SADDLE,Lt,
Andals,WB,Lt,
APPL,QH,Lt,
APPL,QH,Lt,
APPL,QH,Lt,
APPL,QH,Lt,
APPL,QH,Lt,
APPL,QH,Lt,
APPL,QH,Lt,
APPL,QH,Lt,
APPL,QH,Lt,
ARAB,ARAB,Lt,
BELG,WB,Lt,
Clydes,DR,Lt,
Mixed,MX,Lt,
Mixed,MX,Lt,
Mixed,MX,Lt,
Mixed,MX,Lt,
Mixed,MX,Lt,
Mixed,MX,Lt,
Mixed,MX,Lt,
MORG,SADDLE,Lt,
Perchr,DR,Lt,
Perchr,DR,Lt,
Pony,PONY,Lt,
Pony,PONY,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
THB,TB,Lt,
THB,TB,Lt,
THB,TB,Lt,
THB,TB,Lt,
WRMBLD,WB,Lt,
BELG,WB,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
AMPNT,QH,Lt,
MORG,SADDLE,Lt,
QTR,QH,Lt,
AMPNT,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
AMPNT,QH,Lt,
Ampnt,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
QTR,QH,Lt,
THB,TB,Lt,
QTR,QH,Lt,
MORG,SADDLE,Lt,
AMPNT,QH,Rt,
APPL,QH,Rt,
ARAB,ARAB,Rt,
Mixed,MX,Rt,
MORG,SADDLE,Rt,
PONY,PONY,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
THB,TB,Rt,
AMPNT,QH,Rt,
AMPNT,QH,Rt,
AMPNT,QH,Rt,
AMPNT,QH,Rt,
ARAB,ARAB,Rt,
ARAB,ARAB,Rt,
Arab,ARAB,Rt,
ARAB,ARAB,Rt,
ARAB,ARAB,Rt,
Belg,WB,Rt,
Hanovr,WB,Rt,
Mixed,MX,Rt,
Mixed,MX,Rt,
Mixed,MX,Rt,
Mixed,MX,Rt,
Mixed,MX,Rt,
PAL,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
QTR,QH,Rt,
